,Organisation,Investors,Location
4756, ChargeRx , IDEA Northeastern University's Venture Accelerator," Boston, Massachusetts, United States, North America"
4757, Force , IDEA Northeastern University's Venture Accelerator," San Francisco, California, United States, North America"
4758, Super Vitamin D , — ," Eau Claire, Wisconsin, United States, North America"
4759, Quietyme , American Family Ventures," Neshkoro, Wisconsin, United States, North America"
4760, Meijer , — ," Grand Rapids, Michigan, United States, North America"
4761, Rowheels , — ," Fitchburg, Wisconsin, United States, North America"
4762, StepJockey , Angels in MedCity," London, England, United Kingdom, Europe"
4763, ActiveMEDI , — ," Helsinki, Southern Finland, Finland, Europe"
4764, NorthStar Medical Radioisotopes , Stateline Angels," Madison, Wisconsin, United States, North America"
4765, Shuangdj.com , Tunlan Investment," Hangzhou, Zhejiang, China, Asia"
4766, UE LifeSciences , Aarin Capital," Philadelphia, Pennsylvania, United States, North America"
4767, Cathartic.co , dotforge," Manchester, Manchester, United Kingdom, Europe"
4768, Uala , Immobiliare.it," Milan, Lombardia, Italy, Europe"
4769, Dietbox , WOW Aceleradora," Porto Alegre, Rio Grande do Sul, Brazil, South America"
4770, CHECK4CANCER LTD , SyndicateRoom," Cambridge, Massachusetts, United States, North America"
4771, fitmeln , GHV Accelerator," New Delhi, Delhi, India, Asia"
4772, Wellist , — ," Boston, Massachusetts, United States, North America"
4773, BSC ," Changrun Capital, Renbao Yuanwang"," Haidian, Beijing, China, Asia"
4774, Renewed Hope Ranch , — ," Cedar City, Utah, United States, North America"
4775, Eximis Surgical , — ," Louisville, Colorado, United States, North America"
4776, Orexigen Therapeutics , The Baupost Group," La Jolla, California, United States, North America"
4777, Healvo , — ," Berkeley, California, United States, North America"
4778, PIA Medical ," Keiretsu Capital, Keiretsu Forum Northwest"," Kirkland, Washington, United States, North America"
4779, iScreen Vision , Innova Memphis," Cordova, Tennessee, United States, North America"
4780, Tǐjianbao , Chuang Ke Bang," Haidian, Beijing, China, Asia"
4781, MDMA The Movie , — ," Grass Valley, California, United States, North America"
4782, Uniq Bioresearch , EASME - EU Executive Agency for SMEs," Espoo, Southern Finland, Finland, Europe"
4783, Mi Nutriólogo , COECYTJAL," San Francisco, Campeche, Mexico, North America"
4784, Altibbi ," DASH Ventures, Middle East Venture Partners (MEVP)"," Dubai, Dubai, United Arab Emirates, Asia"
4785, Feel , MiLA Capital (Make in LA)," San Francisco, California, United States, North America"
4786, Auris Health , Nimble Ventures," Redwood City, California, United States, North America"
4787, Biom'Up ," ACG Management, Bpifrance, Gimv, Lundbeckfonden Ventures"," Saint-priest-ligoure, Limousin, France, Europe"
4788, Intact Medical , — ," Framingham, Massachusetts, United States, North America"
4789, Delphinus Medical Technologies ," Arboretum Ventures, Beringea, Hopen Life Science Ventures, North Coast Technology Investors, Venture Investors, Waycross Ventures"," Novi, Michigan, United States, North America"
4790, VibeDx , VA Angels," Edmonton, Alberta, Canada, North America"
4791, Xetal , — ," Bonheiden, Antwerpen, Belgium, Europe"
4792, WattRunner , Capital Innovators," Lake Saint Louis, Missouri, United States, North America"
4793, HealthCare Biotech , CFII," Wuhan, Hubei, China, Asia"
4794, Omni Bioceutical Innovations , — ," Phoenix, Arizona, United States, North America"
4795, Swift Biosciences , — ," Ann Arbor, Michigan, United States, North America"
4796, Novadip Biosciences ," Integrale Advisors, New Science Ventures, Nivelinvest, S.R.I.W., Vives Fund"," Mont-saint-guibert, Brabant Wallon, Belgium, Europe"
4797, DermaLumics , Ysios Capital," Madrid, Madrid, Spain, Europe"
4798, hwbang.com ," ANTS Capital, Global Top E-Commerce, Suzhou Yiji Touzi Guanli Zixun Hehuo Qiye(Youxian Hehuo)"," Suzhou, Jiangsu, China, Asia"
4799, Imagia ," BDC Venture Capital, Hacking Health Accelerator, Real Ventures"," Montréal, Quebec, Canada, North America"
4800, ICDLogic , — ," Mamaroneck, New York, United States, North America"
4801, HealthTell , — ," San Ramon, California, United States, North America"
4802, Paratus Clinical , Carthona Capital," North Sydney, New South Wales, Australia, Oceania"
4803, Vestagen Technical Textiles ," Advent Life Sciences, HealthQuest Capital"," Orlando, Florida, United States, North America"
4804, SpineThera , — ," Plymouth, Minnesota, United States, North America"
4805, Metropolis Healthcare , The Carlyle Group," Mumbai, Maharashtra, India, Asia"
4806, Healthcare and Services Technology , Octopus Investments," Sutton Coldfield, Birmingham, United Kingdom, Europe"
4807, PijnZorg , — ," Eemnes, Utrecht, The Netherlands, Europe"
4808, SetPoint Medical ," Abbott, Action Potential Venture Capital, Boston Scientific, Medtronic, Morgenthaler Ventures"," Valencia, California, United States, North America"
4809, Celmatix , — ," New York, New York, United States, North America"
4810, ReViral ," Andera Partners, Brace Pharma, OrbiMed"," Stevenage, Herefordshire, United Kingdom, Europe"
4811, Common Sensing , — ," Cambridge, Massachusetts, United States, North America"
4812, Mable ," Keith Kerridge, Macdoch Ventures, Tony Wales"," Sydney, New South Wales, Australia, Oceania"
4813, Medlinker , YF Capital," Beijing, Beijing, China, Asia"
4814, Cardiotrack ," Bud Biswas, Frontline Strategy, Ravindran Govindan"," Singapore, Central Region, Singapore, Asia"
4815, Bioscreen Health , NDRC," Cork, Cork, Ireland, Europe"
4816, Audion Therapeutics ," INKEF Capital, Shapeways"," Amsterdam, Noord-Holland, The Netherlands, Europe"
4817, AveXis ," Adage Capital Management, Boxer Capital, Deerfield, Foresite Capital, Janus Capital Group, QVT Financial, RA Capital Management, Roche Venture Fund, Rock Springs Capital, RTW Investments LLC, T. Rowe Price, Venrock"," Dallas, Texas, United States, North America"
4818, Studybugs , Open Data Incubator for Europe (ODINE)," Brighton, East Sussex, United Kingdom, Europe"
4819, EBH Holding Company , — ," Long Beach, California, United States, North America"
4820, IMAT Solutions , — ," Orem, Utah, United States, North America"
4821, Moff ," Bandai Namco Entertainment, ORSO Japan, TomyK"," Tokyo, Tokyo, Japan, Asia"
4822, NuvOx Pharma , — ," Tucson, Arizona, United States, North America"
4823, Polku , Reaktor Ventures," New York, New York, United States, North America"
4824, Mentegram , Neulogy Ventures," Austin, Texas, United States, North America"
4825, nessa , — ," Singapore, Central Region, Singapore, Asia"
4826, Med Lighter ," CD Capital, Shangshi Fund, UNION CAPITAL"," Beijing, Beijing, China, Asia"
4827, fitssi , — ," London, England, United Kingdom, Europe"
4828, Sober Network Inc. , — ," Delray Beach, Florida, United States, North America"
4829, telescrypts , — ," Arusha, Arusha, Tanzania, Africa"
4830, Klarismo ," Brian McClendon, Daniel Waterhouse, David Lee, Wei Guo"," London, England, United Kingdom, Europe"
4831, Resilience Imaging , — ," Englewood, Colorado, United States, North America"
4832, Symbiotic Health , — ," Roslyn Heights, New York, United States, North America"
4833, Clockwise.MD , — ," Atlanta, Georgia, United States, North America"
4834, Fitmi Body , Crowdcube," London, England, United Kingdom, Europe"
4835, Geltor ," IndieBio, SOSV"," San Leandro, California, United States, North America"
4836, ForSight Labs , — ," Menlo Park, California, United States, North America"
4837, Kizora Software , — ," Nagpur, Maharashtra, India, Asia"
4838, Xerion Healthcare ," New Wave Ventures, Parkwalk Advisors"," Thame, Oxfordshire, United Kingdom, Europe"
4839, Magnetecs , — ," Inglewood, California, United States, North America"
4840, MYI Diagnostics ," IndieBio, SOSV"," San Francisco, California, United States, North America"
4841, CannTrust , — ," Vaughan, Ontario, Canada, North America"
4842, NextLevel Health , — ," Chicago, Illinois, United States, North America"
4843, Twistle , — ," Seattle, Washington, United States, North America"
4844, Aqueduct Critical Care , Keiretsu Capital," Bothell, Washington, United States, North America"
4845, Tetra Discovery ," Biosciences Research and Commercialization Center (BRCC), Grand Angels, J &J Investments, Michigan.com, Muskegon Angels"," Grand Rapids, Michigan, United States, North America"
4846, iRemedy , — ," New York, New York, United States, North America"
4847, Medbox , — ," West Hills, California, United States, North America"
4848, OMsignal ," Bessemer Venture Partners, Primera Capital, Real Ventures, Shaz Khan"," Montréal, Quebec, Canada, North America"
4849, BrainScope Company , — ," Bethesda, Maryland, United States, North America"
4850, ValenTx , — ," Maple Grove, Minnesota, United States, North America"
4851, ForSight VISION5 , — ," Menlo Park, California, United States, North America"
4852, InfoGym , — ," Haugesund, Rogaland, Norway, Europe"
4853, HistoSonics ," Capital Community Angel Investors, Grand Angels"," Plymouth, Minnesota, United States, North America"
4854, Microclear , Sunland Fund," Suzhou, Jiangsu, China, Asia"
4855, AltusLearn , — ," Madison, Wisconsin, United States, North America"
4856, Ursa Major , — ," Waterbury, Vermont, United States, North America"
4857, Voalte ," Ascension Ventures, Bedford Funding Capital, Cerner Capital"," Sarasota, Florida, United States, North America"
4858, DrFirst , SunTrust Bank," Rockville, Maryland, United States, North America"
4859, Ascletis ," C-Bridge Capital, Pavillion Capital, Tasly Pharmaceutical"," Chapel Hill, North Carolina, United States, North America"
4860, Leto Solutions , — ," San Antonio, Texas, United States, North America"
4861, Medixine , Visionplus," Espoo, Southern Finland, Finland, Europe"
4862, Plasmology4 , — ," Scottsdale, Arizona, United States, North America"
4863, Kona Medical ," BioStar Ventures, Domain Associates, Essex Woodlands Healthcare Partners, ITOCHU Technology Ventures, Morgenthaler Ventures, Morningside Group, Saints Capital, Vertex Ventures, Vertex Ventures HC"," Bellevue, Washington, United States, North America"
4864, Blue Prairie ," Invest Nebraska, Middleland Capital"," Gering, Nebraska, United States, North America"
4865, MedeAnalytics ," Bain Capital, Emergence, Integral Capital Partners"," Emeryville, California, United States, North America"
4866, Health Data Intelligence , Rev1 Ventures," Columbus, Ohio, United States, North America"
4867, Moxxly , Highway1," San Francisco, California, United States, North America"
4868, Clinical Pharmacy Services , Webster Equity Partners," Tennessee, Illinois, United States, North America"
4869, Medmira , — ," Halifax, Nova Scotia, Canada, North America"
4870, Axinesis , Caring Entrepreneurship Fund," Wavre, Brabant Wallon, Belgium, Europe"
4871, Sundial Brands , Bain Capital," Amityville, New York, United States, North America"
4872, Exosome Diagnostics ," Arcus Ventures, CD-Venture, Forbion Capital Partners, NGN Capital, Tiger Management Corporation"," New York, New York, United States, North America"
4873, Sante Basque Developpement , Elaïs Capital," Lyon, Rhone-Alpes, France, Europe"
4874, Yunweikang , Kaitai Capital," Chengdu, Sichuan, China, Asia"
4875, WeGene ," Fengji Touzi, K2 Jijin"," Shenzhen, Guangdong, China, Asia"
4876, Tricares , Karista," Paris, Ile-de-France, France, Europe"
4877, Ivenix ," Cardinal Partners, CICA, Easterly Capital, F-Prime Capital, SCP Vitalife Partners, WuXi Healthcare Ventures"," Amesbury, Massachusetts, United States, North America"
4878, Alignmed Health , Tsing-Yuan Capital," Beijing, Beijing, China, Asia"
4879," Lumme Health, Inc. ", National Cancer Institute SBIR Development Center," Boston, Massachusetts, United States, North America"
4880, Babylon Health , Hoxton Ventures," London, England, United Kingdom, Europe"
4881, SEEHIGHER , Golden Sunflower Capital," Daxing, Beijing, China, Asia"
4882, Nainiumama ," Edaixi, Share VC, Zhiying Capital"," Beijing, Beijing, China, Asia"
4883, Zhai Life , — ," Xian Shi, Shaanxi, China, Asia"
4884, YIDONGEC , — ," Beijing, Beijing, China, Asia"
4885, Chayagraphics , Somerset Indus Capital Partners," Bengaluru, Karnataka, India, Asia"
4886, StemLab , — ," Seoul, Seoul-t'ukpyolsi, South Korea, Asia"
4887, membersy , — ," Austin, Texas, United States, North America"
4888, KOSIIM , — ," Jiading, Shanghai, China, Asia"
4889, Behold.ai , Almaworks," London, England, United Kingdom, Europe"
4890, MedChat , Almaworks," Charlotte, North Carolina, United States, North America"
4891, Littlelunch , Freigeist Capital," Augsburg, Bayern, Germany, Europe"
4892, CSP Healthcare , — ," Beirut, Beyrouth, Lebanon, Asia"
4893, Ionovation , EASME - EU Executive Agency for SMEs," Bissendorf, Niedersachsen, Germany, Europe"
4894, Aeris Health ," PreAngel, Vic Lee"," Winterthur, Zurich, Switzerland, Europe"
4895, Alterix , — ," Beverly, Massachusetts, United States, North America"
4896, Qimova , EASME - EU Executive Agency for SMEs," Tewkesbury, Gloucestershire, United Kingdom, Europe"
4897, Healthera , — ," Cambridge, Cambridgeshire, United Kingdom, Europe"
4898, Intellia Therapeutics ," Atlas Venture, EcoR1 Capital, Fidelity Management and Research Company, Foresite Capital, Janus Capital Group, Novartis, OrbiMed, Sectoral Asset Management"," Cambridge, Massachusetts, United States, North America"
4899, CeQur ," Arthurian Life Sciences, Endeavour Vision, Schroders, VI Partners, Woodford Investment Management"," Horw, Luzern, Switzerland, Europe"
4900, Life Length , EASME - EU Executive Agency for SMEs," Bensalem, Pennsylvania, United States, North America"
4901, Pi-Cardia , Atlante Ventures," Herzliya, Tel Aviv, Israel, Asia"
4902, qointa , — ," Puurs, Antwerpen, Belgium, Europe"
4903, Awair , Kakao Ventures," San Francisco, California, United States, North America"
