,Round
8477, Seed Round - Vim 
8478, Series A - Nkarta Therapeutics 
8479, Series A - Beyond Limits 
8480, Seed Round - gymCentral 
8481, Seed Round - Natives 
8482, Venture Round - Vestagen Technical Textiles 
8483, Seed Round - Leka 
8484, Pre Seed Round - Healfies 
8485, Seed Round - ATO-GEAR 
8486, Seed Round - Conscious 2 
8487, Grant - Vaxess Technologies 
8488, Seed Round - Calidi Biotherapeutics 
8489, Seed Round - Rested 
8490, Venture Round - Flybrain 
8491, Venture Round - Foobot 
8492, Angel Round - DaoCloud 
8493, Angel Round - Priv 
8494, Venture Round - Therakind 
8495, Venture Round - Canbiola 
8496, Angel Round - QUBIC 
8497, Angel Round - Tecuro 
8498, Seed Round - ShiftLabs 
8499, Venture Round - Biodirection 
8500, Series B - AOBiome 
8501, Debt Financing - MedVantx Inc. 
8502, Seed Round - Fabulyzer 
8503, Venture Round - Lexington Wellness 
8504, Venture Round - Nabriva Therapeutics 
8505, Venture Round - Shape Memory Medical 
8506, Seed Round - Mary Janes World Group 
8507, Venture Round - Fio 
8508, Venture Round - Avadim Health 
8509, Series A - Evidation Health 
8510, Post-IPO Equity - Ontrak 
8511, Seed Round - LIANDAN 
8512, Series A - Curology 
8513, Debt Financing - Assure Neuromonitoring 
8514, Venture Round - Azurity Pharmaceuticals 
8515, Seed Round - East Side Endoscopy 
8516, Series C - Apricot Forest 
8517, Venture Round - Beautycounter 
8518, Venture Round - Frensenius Vascular Care 
8519, Debt Financing - NextImage Medical 
8520, Seed Round - TreVia Digital Health 
8521, Seed Round - Medzpeed Solutions 
8522, Equity Crowdfunding - Avacen 
8523, Angel Round - Weiji 
8524, Seed Round - KleenGel 
8525, Post-IPO Equity - OHR Pharmaceutical 
8526, Debt Financing - Infina Connect Healthcare Systems 
8527, Debt Financing - Aerami Therapeutics 
8528, Venture Round - Cartiva 
8529, Angel Round - Med Lighter 
8530, Angel Round - Med Lighter 
8531, Post-IPO Equity - Photomedex 
8532, Angel Round - BookMEDS 
8533, Venture Round - Rumble Supershake 
8534, Angel Round - Kangfu Zhushou 
8535, Angel Round - Beijing 5 Color Technology 
8536, Post-IPO Debt - Palatin Technologies 
8537, Venture Round - SonarMed 
8538, Debt Financing - Novira Therapeutics 
8539, Post-IPO Equity - Palatin Technologies 
8540, Equity Crowdfunding - First Wearable 
8541, Venture Round - MB2 
8542, Seed Round - tripMD 
8543, Seed Round - HylaPharm 
8544, Post-IPO Equity - NantKwest 
8545, Post-IPO Equity - Kalytera Therapeutics 
8546, Series B - Ginger 
8547, Venture Round - DiviCom 
8548, Post-IPO Equity - Interleukin Genetics 
8549, Venture Round - Vigil Monitoring 
8550, Venture Round - Boost Juice Bars UK 
8551, Equity Crowdfunding - Sirona Spring 
8552, Series A - Foodsmart by Zipongo 
8553, Post-IPO Equity - Aspira Women's Health 
8554, Venture Round - Antiva Biosciences 
8555, Series D - Assurex Health 
8556, Venture Round - Swoop 
8557, Post-IPO Equity - ClearPoint Neuro 
8558, Debt Financing - HistoSonics 
8559, Venture Round - BAM Labs 
8560, Venture Round - Backjoy 
8561, Venture Round - Neurona Therapeutics 
8562, Series B - Vapogenix 
8563, Post-IPO Debt - Interleukin Genetics 
8564, Seed Round - Avhana Health 
8565, Angel Round - Med Lighter 
8566, Post-IPO Equity - Photomedex 
8567, Angel Round - BookMEDS 
8568, Venture Round - Rumble Supershake 
8569, Angel Round - Kangfu Zhushou 
8570, Angel Round - Beijing 5 Color Technology 
8571, Post-IPO Debt - Palatin Technologies 
8572, Venture Round - SonarMed 
8573, Debt Financing - Novira Therapeutics 
8574, Post-IPO Equity - Palatin Technologies 
8575, Equity Crowdfunding - First Wearable 
8576, Venture Round - MB2 
8577, Seed Round - tripMD 
8578, Seed Round - HylaPharm 
8579, Post-IPO Equity - NantKwest 
8580, Post-IPO Equity - Kalytera Therapeutics 
8581, Series B - Ginger 
8582, Venture Round - DiviCom 
8583, Post-IPO Equity - Interleukin Genetics 
8584, Venture Round - Vigil Monitoring 
8585, Venture Round - Boost Juice Bars UK 
8586, Equity Crowdfunding - Sirona Spring 
8587, Series A - Foodsmart by Zipongo 
8588, Post-IPO Equity - Aspira Women's Health 
8589, Venture Round - Antiva Biosciences 
8590, Series D - Assurex Health 
8591, Venture Round - Swoop 
8592, Post-IPO Equity - ClearPoint Neuro 
8593, Debt Financing - HistoSonics 
8594, Venture Round - BAM Labs 
8595, Venture Round - Backjoy 
8596, Venture Round - Neurona Therapeutics 
8597, Series B - Vapogenix 
8598, Post-IPO Debt - Interleukin Genetics 
8599, Seed Round - Avhana Health 
8600, Seed Round - Clariflow 
8601, Seed Round - 410 Medical 
8602, Seed Round - Together Clinic 
8603, Pre Seed Round - Sport Heroes 
8604, Seed Round - NurseBuddy 
8605, Series A - Padlock Therapeutics 
8606," Series A - Zhongguang Aiwan Seniors Care Industry Co., Ltd "
8607, Venture Round - Aridhia Informatics 
8608, Series B - Scioderm 
8609, Seed Round - Avhana Health 
8610, Debt Financing - Ella Health 
8611, Venture Round - CardioDx 
8612, Venture Round - Pulmotrace 
8613, Seed Round - Swasth India 
8614, Series A - First Opinion 
8615," Venture Round - LKC Technologies, Inc. (LKC) "
8616, Equity Crowdfunding - American Discount Pharmacy Crop 
8617, Debt Financing - Moda Health 
8618, Series B - Flexus Biosciences 
8619, Seed Round - Gritness 
8620, Seed Round - Essential Medical 
8621, Seed Round - Nuplanit 
8622, Post-IPO Equity - CanFite BioPharma 
8623, Venture Round - PURSUANT HEALTH 
8624, Series E - Sonoma Orthopedics 
8625, Seed Round - VirtualTrainerX 
8626, Seed Round - Health IQ 
8627, Convertible Note - iTel Companies 
8628, Series A - Invictus Medical 
8629, Venture Round - Pathfinder Health 
8630, Private Equity Round - Integrated Diagnostics Holdings 
8631, Seed Round - Run An Empire 
8632, Venture Round - Lift Labs 
8633, Seed Round - Health: Elt 
8634, Venture Round - SynerGene Therapeutics 
8635, Seed Round - Talkspace 
8636, Grant - Oxehealth 
8637, Venture Round - Crescendo Biologics 
8638, Grant - Mimerse 
8639, Series C - Amwell 
8640, Venture Round - Veniti 
8641, Post-IPO Equity - Aethlon Medical 
8642, Series D - InSightec 
8643, Series B - Noom 
8644, Venture Round - Inova Labs 
8645, Venture Round - Future Path Medical Holding Company 
8646, Series A - Annexon Biosciences 
8647, Seed Round - VetPronto 
8648, Funding Round - PhyMed Healthcare Group 
8649, Venture Round - Breakthrough Behavioral 
8650, Series A - iFit 
8651, Grant - BioCule 
8652, Venture Round - Provia Laboratories 
8653, Venture Round - Oneview Healthcare 
8654, Venture Round - Vimecon 
8655, Post-IPO Debt - ADMA Biologics 
8656, Series D - Vaxart 
8657, Series B - Whale Imaging 
8658, Series B - PIA Medical 
8659, Venture Round - Insightra Medical 
8660, Venture Round - Cotera 
8661, Venture Round - Beactica AB 
8662, Seed Round - UNYQ 
8663, Angel Round - mycs.cn 
8664, Seed Round - Immune Biosolutions 
8665, Private Equity Round - Neusoft Medical Systems 
8666, Series A - XIKANG 
8667, Secondary Market - Neusoft Medical Systems 
8668, Angel Round - Yangguang Fuer 
8669, Venture Round - BioVentrix 
8670, Venture Round - Atigeo 
8671, Post-IPO Debt - Champions Oncology 
8672, Series B - 10X Genomics 
8673, Venture Round - Real Time Medical Systems 
8674, Venture Round - IHOL Group 
8675, Equity Crowdfunding - Radekal 
8676, Venture Round - Wright Therapy Products 
8677, Seed Round - Jaha 
8678, Seed Round - HemoGenyx 
8679, Seed Round - Parasight System 
8680, Seed Round - DSSV 
8681, Venture Round - Exco InTouch 
8682, Debt Financing - YogaDownload.com 
8683, Debt Financing - Autotelic 
8684, Equity Crowdfunding - Bear State Technologies 
8685, Angel Round - Venture Med Group 
8686, Series A - Kinsa 
8687, Post-IPO Equity - GENFIT 
8688, Series A - Luminat 
8689, Grant - Boston Medical Center 
8690, Seed Round - LifeAssist 
8691, Seed Round - Voy al Doc 
8692, Venture Round - Knopp Biosciences 
8693, Angel Round - Zhaike Yundong 
8694, Series A - Color 
8695, Venture Round - Emerge Diagnostics 
8696, Venture Round - Optomeditech 
8697, Seed Round - Live Right Wellness Centers 
8698, Venture Round - WebPsychology 
8699, Grant - Cyclica 
8700, Debt Financing - Innocrin Pharmaceuticals 
8701, Venture Round - Volpara Solutions 
8702, Convertible Note - Dorsata 
8703," Seed Round - Orphidia, Inc. "
8704, Venture Round - VuCOMP 
8705, Post-IPO Debt - GoNow Doctors 
8706, Seed Round - BLITAB Technology 
8707," Series B - Ikonopedia, Inc. "
8708, Venture Round - Image Stream Medical 
8709, Grant - Quanticare Technologies 
8710, Debt Financing - EasyG 
8711, Series B - Koning 
8712, Venture Round - Nanna Therapeutics 
8713, Post-IPO Equity - Cara Therapeutics 
8714, Series A - Aspen Park Pharmaceuticals 
8715, Venture Round - NOVACYT 
8716, Series C - Predilytics 
8717, Angel Round - Youyi Tang 
8718, Venture Round - InfaCare Pharmaceutical 
8719, Grant - IRsweep 
8720, Post-IPO Debt - GoNow Doctors 
8721, Grant - Ceveeo 
8722, Series A - Bergen Medical Products 
8723, Grant - Outcomes Based Healthcare Ltd 
8724, Grant - Blue Maestro 
8725, Equity Crowdfunding - Cell Therapy 
8726, Series D - Suture Concepts 
8727, Series A - Yixue Jie 
8728, Seed Round - OrthoGrid Systems 
8729, Series A - Innovative Cardiovascular Solutions 
8730, Seed Round - Sooma 
8731, Venture Round - Intralink-Spine 
8732, Seed Round - CrossCoat Medical 
8733, Series A - FlexDex 
8734, Series F - CardioKinetix 
8735, Venture Round - Seaweed Bath 
8736, Venture Round - Pascal Metrics 
8737, Grant - University of Texas Health Science Center at Houston 
8738, Venture Round - TAO Connect 
8739, Seed Round - Talkspace 
8740, Series C - Nutrinia 
8741, Seed Round - OptiKira 
8742, Venture Round - ForSight Labs 
8743, Seed Round - Cognotion 
8744, Equity Crowdfunding - Specified Testing Labs 
8745, Convertible Note - Doktuz 
8746, Seed Round - Immuno Gum 
8747, Debt Financing - Formula XO 
8748, Convertible Note - ManagingLife 
8749, Convertible Note - Color 
8750, Series A - Huami 
8751, Seed Round - Prontmed 
8752, Venture Round - VisionCare Ophthalmic Technologies 
8753, Venture Round - Congenica 
8754, Debt Financing - Angel Medical Systems 
8755, Venture Round - Hopebridge 
8756, Venture Round - Gozio Health 
8757, Angel Round - Utilize Health 
8758, Post-IPO Equity - Suven Life Sciences 
8759, Venture Round - Arrayent Health 
8760, Series A - Sirakoss 
8761, Venture Round - GI-View 
8762, Seed Round - FIGMD 
8763, Series B - Maxwell Health 
8764, Grant - Blaze Medical Devices 
8765, Venture Round - Newtopia 
8766, Series B - Anergis 
8767, Venture Round - Celmatix 
8768, Seed Round - LensGen 
8769, Series A - Prenetics 
8770, Venture Round - InstaMed 
8771, Venture Round - Leafline Labs 
8772, Series A - JourneyPure 
8773, Venture Round - Procyrion 
8774, Post-IPO Equity - Fennec Pharmaceuticals 
8775, Grant - Gismo Therapeutics 
8776, Venture Round - Inflammatory Response Research 
8777, Series B - Audentes Therapeutics 
8778, Series C - Seres Therapeutics 
8779, Post-IPO Equity - Sanofi 
8780, Venture Round - Restore Medical Solutions 
8781, Post-IPO Equity - Histogenics 
8782, Series B - BIMA 
8783, Equity Crowdfunding - Seascape Health Alliance 
8784, Series A - CANbridge Pharmaceuticals 
8785, Series A - Medigo 
8786, Series B - Xeltis 
8787, Series C - Misfit Wearables 
8788, Debt Financing - Qspex Technologies 
8789, Series A - PMV Pharmaceuticals 
8790, Series C - Apellis Pharmaceuticals 
8791, Product Crowdfunding - VitalSines 
8792, Pre Seed Round - Comforting Companions Care Providers 
8793, Angel Round - DATANGYI 
8794, Venture Round - SEEHEALTH GROUP 
8795," Series A - WUHAN YOUNGSEN BIOTECH CO., LTD "
8796, Pre Seed Round - HealClick 
8797, Angel Round - iBaby 
8798, Private Equity Round - CRF Health 
8799, Grant - CardiacSense 
8800, Seed Round - Memic Innovative Surgery 
8801, Venture Round - Celixir 
8802, Venture Round - ReViral 
8803, Series C - Edge Therapeutics 
8804, Seed Round - Vet on Demand 
8805, Venture Round - Spine Surgical Innovation 
8806, Series A - Pherecydes Pharma 
8807, Seed Round - Baby2Body 
8808, Non Equity Assistance - Gymawy 
8809, Series E - Interrad Medical 
8810, Venture Round - DCDC Health Services 
8811, Convertible Note - Kumu Wellness 
8812, Series D - Ascendis Pharma 
8813, Seed Round - LOOX 
8814, Venture Round - Adaptix Ltd 
8815, Series A - Tute Genomics 
8816, Seed Round - Capella BioScience 
8817, Venture Round - Vesiflo 
8818, Seed Round - HabiToStep 
8819, Venture Round - Metabolomic Diagnostics 
8820, Seed Round - Filisia 
8821, Series A - PierianDx 
8822, Series A - RedKLEVER 
8823, Seed Round - BeaconFit 
8824," Series C - 111, Inc. "
8825, Seed Round - Life.io 
8826, Seed Round - Fitmo 
8827, Angel Round - Fitspot 
8828, Non Equity Assistance - Ava 
8829, Debt Financing - Runteq 
8830, Angel Round - Anagram 
8831, Seed Round - CircleLink Health 
8832, Private Equity Round - The Edge Fitness Clubs 
8833, Venture Round - Abeona Therapeutics 
8834, Venture Round - TOTAL MAMA 
8835, Funding Round - Nutrifiz 
8836, Seed Round - Zed Technologies 
8837, Venture Round - Immuno Gum 
8838, Seed Round - Qventus 
8839, Seed Round - Akido Labs 
8840, Venture Round - MediStream 
8841, Series A - POCTech Corporation 
8842, Private Equity Round - Foundation Consumer Healthcare 
8843, Venture Round - Narayana Hrudayalaya 
8844, Seed Round - Green Chef 
8845, Debt Financing - Secure Healing 
8846, Seed Round - 20n 
8847, Angel Round - Intelligent Implants 
8848, Seed Round - Nodexus Inc. 
8849, Seed Round - Lucira Health 
8850, Seed Round - CureDiva 
8851, Angel Round - MysteryVibe 
8852, Pre Seed Round - AptaCam 
8853, Seed Round - TAG Smart Devices 
8854, Angel Round - Doktuz 
8855, Seed Round - Freenome 
8856, Series A - SevenOaks BioSystems 
8857," Series A - Careray Digital Medical Technology Co., Ltd. "
8858, Angel Round - Tinteo 
8859, Seed Round - Haoyunbang 
8860, Venture Round - Touchlight Genetics 
8861, Series A - Güdpod 
8862, Seed Round - Foodsmart by Zipongo 
8863, Series B - Huami 
8864, Angel Round - Jat Jiyuan 
8865, Convertible Note - HelixNano 
8866, Seed Round - Mas Médico 
8867, Venture Round - Virometix 
8868, Venture Round - Cervel Neurotech 
8869, Seed Round - Proteocyte AI 
8870, Equity Crowdfunding - FitFocus 
8871, Seed Round - StretchSense 
8872, Seed Round - The Rounds 
8873, Post-IPO Equity - Quotient Biodiagnostics 
8874, Angel Round - WeDOCare 
8875, Debt Financing - SFC Fluidics 
8876, Venture Round - ForSight VISION6 
8877, Seed Round - Redox 
8878, Series A - Genomics 
8879, Venture Round - BeneVir Biopharm 
8880, Seed Round - 12 Labs 
8881, Venture Round - Stage I Diagnostics 
8882, Equity Crowdfunding - True Float 
8883, Seed Round - Equilume 
8884, Series A - Pathfinder Health Innovations 
8885, Venture Round - Flower Orthopedics 
8886, Post-IPO Equity - Aevi Genomic Medicine 
8887, Venture Round - Planet Fitness Growth Partners (PFGP) 
8888, Venture Round - Vivify Health 
8889, Venture Round - Trio Health 
8890, Venture Round - Holganix 
8891, Convertible Note - Visibly 
8892, Seed Round - KindHeart 
8893, Series B - Apos Therapy 
8894," Post-IPO Equity - Sesen Bio, Inc. "
8895, Series A - Sanguine 
8896, Debt Financing - HealthSpot 
8897, Equity Crowdfunding - DaVinci Home Health Services 
8898, Series B - Kuur Therapeutics 
8899, Series B - Gamgee 
8900, Series A - Doctolib 
8901, Angel Round - xinws.com 
8902, Venture Round - MURJ 
8903, Series A - Digital Surgery 
8904, Series B - RealView Imaging 
8905, Grant - GlySens 
8906, Venture Round - fitmob 
8907, Venture Round - Rete+Pay 
8908, Series C - iHear Medical 
8909, Post-IPO Equity - GTx 
8910, Non Equity Assistance - WinSenga 
8911, Debt Financing - BeneStream 
8912, Series A - Qikwell Technologies 
8913, Venture Round - Linkwell Health 
8914, Equity Crowdfunding - HUMN Pharmaceuticals 
8915, Venture Round - Harbor View Medical 
8916, Seed Round - Diagnotes 
8917, Venture Round - Solasia Pharma 
8918, Grant - OBS Medical 
8919, Seed Round - Stepscan Technologies 
8920, Venture Round - RivalHealth 
8921, Seed Round - Push Doctor 
8922," Seed Round - Carepro, Inc. "
8923, Post-IPO Equity - Manhattan Scientifics 
8924, Non Equity Assistance - Medtep 
8925, Venture Round - Kypha 
8926, Non Equity Assistance - RubiconMD 
8927, Seed Round - Zipnosis 
8928, Angel Round - DENTBOOTH.COM 
8929, Seed Round - OsteoQC Inc 
8930, Grant - Roam Technologies 
8931, Debt Financing - Amplify Health 
8932, Grant - Beactica AB 
8933, Venture Round - Renal Services 
8934, Convertible Note - Zenrez 
8935, Post-IPO Equity - NephroGenex 
8936, Series B - Endomag 
8937, Funding Round - Aequus Pharmaceuticals 
8938, Convertible Note - JOANY 
8939, Post-IPO Equity - Northwest Biotherapeutics 
8940, Seed Round - Hansen Pharmaceutical 
8941, Series A - Flashback Technologies 
8942, Venture Round - WellAir 
8943, Venture Round - Nivalis Therapeutics 
8944, Series B - Valence Health 
8945, Venture Round - MATTER 
8946, Venture Round - Stemina Biomarker Discovery 
8947, Post-IPO Equity - Supreme Cannabis 
8948, Series A - Aortica Corporation 
8949, Seed Round - Self Care Catalysts 
8950, Venture Round - Novaerus 
8951, Venture Round - Efranat 
8952, Seed Round - Northwest Urological Service 
8953, Series A - Cue 
8954, Series A - Kangai Weishi 
8955, Series B - Sera Prognostics 
8956, Debt Financing - ClearFlow 
8957, Seed Round - Wellmo 
8958, Funding Round - Surgimatix 
8959, Series A - Intellia Therapeutics 
8960, Venture Round - Brighton Biotech 
8961, Seed Round - Bigfoot Biomedical 
8962, Equity Crowdfunding - Hearts N Hand 
8963, Series A - Ivy Sports Medicine 
8964, Series A - DaoWoo 
8965, Angel Round - MegaHealth 
8966, Seed Round - Agency for Student Health Research 
8967, Seed Round - PlantPure 
8968, Debt Financing - Accudial Pharmaceutical 
8969, Equity Crowdfunding - iSRAT 
